,code,term
0,192616009,Childhood or adolescent disorder of social functioning (disorder)
1,44124003,Reactive attachment disorder of early childhood (disorder)
2,111477005,"Reactive attachment disorder of infancy OR early childhood, disinhibited type (disorder)"
3,270905000,Childhood disinhibited attachment disorder (disorder)
4,2312009,"Reactive attachment disorder of infancy OR early childhood, inhibited type (disorder)"
5,106015009,Mental disorder AND/OR culture bound syndrome (disorder)
6,27803006,Qi-gong psychotic reaction (disorder)
7,2838003,Piblokto (disorder)
8,2994004,Brain fag (disorder)
9,34134009,Shenjing shuairuo (disorder)
10,34741005,Nervios (disorder)
11,40950007,Zar (disorder)
12,41196008,Dhat (disorder)
13,41673007,Ataque de nervios (disorder)
14,41932008,Amok (disorder)
15,50643003,Latah (disorder)
16,51946000,Susto (disorder)
17,54560009,Windigo (disorder)
18,651003,Root work (disorder)
19,65179007,Koro (disorder)
20,65207000,Locuru (disorder)
21,74803002,Taijin kyofusho (disorder)
22,75605002,Sangue dormido (disorder)
23,76129002,Ganser syndrome (disorder)
24,76399004,Mal de ojo (disorder)
25,7718000,Bilis (disorder)
26,79459002,Cheshire cat syndrome (disorder)
27,81812009,Hwa-byung (disorder)
28,83233002,Ghost sickness (disorder)
29,9116003,Shin-byung (disorder)
30,129607003,Mother-daughter symbiotic syndrome (disorder)
31,197480006,Anxiety disorder (disorder)
32,191736004,Obsessive-compulsive disorder (disorder)
33,191737008,Compulsive neurosis (disorder)
34,191738003,Obsessional neurosis (disorder)
35,192014006,Psychogenic rumination (disorder)
36,10586006,Occupation-related stress disorder (disorder)
37,109006,Anxiety disorder of childhood OR adolescence (disorder)
38,13438001,Overanxious disorder of childhood (disorder)
39,37868008,Anxiety disorder of adolescence (disorder)
40,37872007,Avoidant disorder of childhood OR adolescence (disorder)
41,53467004,Anxiety disorder of childhood (disorder)
42,192611004,Childhood phobic anxiety disorder (disorder)
43,11806006,Separation anxiety disorder of childhood (disorder)
44,85061001,"Separation anxiety disorder of childhood, early onset (disorder)"
45,64165008,Avoidant disorder of childhood (disorder)
46,83253003,Shyness disorder of childhood (disorder)
47,90790003,Avoidant disorder of adolescence (disorder)
48,231504006,Mixed anxiety and depressive disorder (disorder)
49,111487009,Dream anxiety disorder (disorder)
50,428687006,Nightmares associated with chronic post-traumatic stress disorder (disorder)
51,126943008,Separation anxiety (disorder)
52,17496003,Organic anxiety disorder (disorder)
53,50026000,Psychoactive substance-induced organic anxiety disorder (disorder)
54,1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder (disorder)"
55,34938008,Alcohol-induced anxiety disorder (disorder)
56,51493001,Cocaine-induced anxiety disorder (disorder)
57,55967005,Phencyclidine-induced anxiety disorder (disorder)
58,21897009,Generalized anxiety disorder (disorder)
59,47505003,Posttraumatic stress disorder (disorder)
60,317816007,Stockholm syndrome (disorder)
61,318784009,"Posttraumatic stress disorder, delayed onset (disorder)"
62,446180007,Delayed posttraumatic stress disorder following military combat (disorder)
63,192042008,Acute post-trauma stress state (disorder)
64,313182004,Chronic post-traumatic stress disorder (disorder)
65,699241002,Chronic post-traumatic stress disorder following military combat (disorder)
66,443919007,Complex posttraumatic stress disorder (disorder)
67,446175003,Acute posttraumatic stress disorder following military combat (disorder)
68,52910006,Anxiety disorder due to a general medical condition (disorder)
69,58535001,Physical AND emotional exhaustion state (disorder)
70,67195008,Acute stress disorder (disorder)
71,192041001,Acute situational disturbance (disorder)
72,279611005,Shell shock (disorder)
73,61157009,Combat fatigue (disorder)
74,192037000,Acute panic state due to acute stress reaction (disorder)
75,192038005,Acute fugue state due to acute stress reaction (disorder)
76,192039002,Acute stupor state due to acute stress reaction (disorder)
77,192044009,Stress reaction causing mixed disturbance of emotion and conduct (disorder)
78,69479009,Anxiety hyperventilation (disorder)
79,82339009,Amphetamine-induced anxiety disorder (disorder)
80,371631005,Panic disorder (disorder)
81,35607004,Panic disorder with agoraphobia (disorder)
82,5509004,Panic disorder with agoraphobia AND severe panic attacks (disorder)
83,111490003,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks (disorder)"
84,19766004,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks (disorder)"
85,34116005,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks (disorder)"
86,61212007,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks (disorder)"
87,83631006,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks (disorder)"
88,59923000,Panic disorder with agoraphobia AND panic attacks in full remission (disorder)
89,11941006,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission (disorder)"
90,22230001,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission (disorder)"
91,24781009,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission (disorder)"
92,38328002,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission (disorder)"
93,64060000,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission (disorder)"
94,63909006,Panic disorder with agoraphobia AND panic attacks in partial remission (disorder)
95,111491004,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission (disorder)"
96,3158007,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission (disorder)"
97,50983008,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission (disorder)"
98,74010007,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission (disorder)"
99,76812003,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission (disorder)"
100,8185002,Panic disorder with agoraphobia AND moderate panic attacks (disorder)
101,30059008,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks (disorder)"
102,32388005,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks (disorder)"
103,49564006,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks (disorder)"
104,82738004,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks (disorder)"
105,87798009,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks (disorder)"
106,89948007,Panic disorder with agoraphobia AND mild panic attacks (disorder)
107,1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks (disorder)"
108,31781004,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks (disorder)"
109,4932002,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks (disorder)"
110,63701002,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks (disorder)"
111,76868007,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks (disorder)"
112,56576003,Panic disorder without agoraphobia (disorder)
113,43150009,Panic disorder without agoraphobia with severe panic attacks (disorder)
114,53956006,Panic disorder without agoraphobia with panic attacks in partial remission (disorder)
115,65064003,Panic disorder without agoraphobia with moderate panic attacks (disorder)
116,72861004,Panic disorder without agoraphobia with mild panic attacks (disorder)
117,82494000,Panic disorder without agoraphobia with panic attacks in full remission (disorder)
118,386810004,Phobic disorder (disorder)
119,25501002,Social phobia (disorder)
120,191725006,"Social phobia, fear of public speaking (disorder)"
121,62351001,Generalized social phobia (disorder)
122,191724005,"Social phobia, fear of eating in public (disorder)"
123,191726007,"Social phobia, fear of public washing (disorder)"
124,54587008,Simple phobia (disorder)
125,238965007,Venereophobia (disorder)
126,238966008,Syphilophobia (disorder)
127,238976006,Bromisodrophobia (disorder)
128,313224008,Dysmorphophobia (disorder)
