,source,relation,target
0,192616009,IS_A,74732009
1,192616009,occurrence,255398004
2,192616009,occurrence,263659003
3,44124003,IS_A,192616009
4,44124003,IS_A,28857002
5,44124003,occurrence,255398004
6,44124003,occurrence,263659003
7,111477005,IS_A,44124003
8,111477005,occurrence,263659003
9,111477005,occurrence,255398004
10,270905000,IS_A,111477005
11,270905000,occurrence,263659003
12,270905000,occurrence,255398004
13,2312009,IS_A,44124003
14,2312009,occurrence,263659003
15,2312009,occurrence,255398004
16,106015009,IS_A,74732009
17,27803006,IS_A,106015009
18,2838003,IS_A,106015009
19,2994004,IS_A,106015009
20,34134009,IS_A,106015009
21,34741005,IS_A,106015009
22,40950007,IS_A,106015009
23,41196008,IS_A,111475002
24,41196008,IS_A,106015009
25,41673007,IS_A,106015009
26,41932008,IS_A,231494001
27,41932008,IS_A,106015009
28,50643003,IS_A,111475002
29,50643003,IS_A,106015009
30,51946000,IS_A,106015009
31,54560009,IS_A,106015009
32,651003,IS_A,106015009
33,65179007,IS_A,106015009
34,65179007,IS_A,111475002
35,65207000,IS_A,106015009
36,74803002,IS_A,106015009
37,75605002,IS_A,106015009
38,76129002,IS_A,44376007
39,76129002,IS_A,106015009
40,76399004,IS_A,106015009
41,7718000,IS_A,106015009
42,79459002,IS_A,106015009
43,81812009,IS_A,106015009
44,83233002,IS_A,106015009
45,9116003,IS_A,106015009
46,129607003,IS_A,106015009
47,197480006,IS_A,74732009
48,197480006,INVERSE_has_focus,710841007
49,197480006,has_definitional_manifestation,48694002
50,191736004,IS_A,197480006
51,191736004,has_definitional_manifestation,48694002
52,191737008,IS_A,191736004
53,191737008,has_definitional_manifestation,48694002
54,191738003,IS_A,191736004
55,191738003,has_definitional_manifestation,48694002
56,192014006,IS_A,191736004
57,192014006,IS_A,37057007
58,192014006,interprets,3850002
59,192014006,has_definitional_manifestation,48694002
60,10586006,IS_A,197480006
61,10586006,has_definitional_manifestation,48694002
62,109006,IS_A,197480006
63,109006,IS_A,268664001
64,109006,IS_A,111476001
65,109006,occurrence,255398004
66,109006,has_definitional_manifestation,48694002
67,13438001,IS_A,109006
68,13438001,occurrence,255398004
