code,term
284465006,Finding relating to psychosocial functioning (finding)
225706007,Interpersonal relationship finding (finding)
160822004,Relationship problems (finding)
160823009,Boyfriend relationship problem (finding)
160824003,Girlfriend relationship problem (finding)
160826001,Parental marital problems (finding)
160827005,Parent relationship problem (finding)
288501000119105,Parent child estrangement (finding)
160828000,Stepparent relationship problem (finding)
160830003,Child relationship problem (finding)
681000119101,Sibling relationship problem (finding)
1041000119100,Partner relationship problem (finding)
288551000119109,Problem in relationship with in-laws (finding)
52381000119109,Peer problem (finding)
102171000119108,Relationship problems with family members due to medical condition (finding)
102161000119102,Relationship problems with family members due to mental condition (finding)
160845005,New relationship (finding)
160846006,First relationship (finding)
304858008,Psychodynamic relationship finding (finding)
304859000,Ambivalent relationship (finding)
304860005,Approach avoidance relationship (finding)
304861009,Attunement relationship (finding)
304862002,Depressive position relationship (finding)
304863007,Paranoid schizoid position relationship (finding)
304864001,Passive aggressive relationship (finding)
304865000,Schizoid relationship (finding)
88451002,Unresolved independence-dependence conflict (finding)
64313000,Alteration in family processes (finding)
129603004,Alcoholic family syndrome (finding)
129878006,Dysfunctional family due to alcoholism (finding)
133938003,Alcoholic family member (finding)
133939006,Alcoholic spouse (finding)
281026004,Husband alcoholic (finding)
133940008,Alcoholic parent (finding)
441879005,No contact with family (finding)
67564005,Social maladjustment (finding)
105416005,Breakup of romance (finding)
225857001,Does not adhere to rules and boundaries (finding)
105414008,Personal relationship breakdown (finding)
88598008,Impaired social interaction (finding)
161057005,Lack of stimulation (finding)
276130005,Under-stimulation (finding)
423238001,Difficulty establishing relationships (finding)
424573006,Difficulty maintaining relationships (finding)
424300006,Minimal shared activities (finding)
422981003,Incongruent personal values (finding)
422781006,Incongruent personal expectations (finding)
422717002,Incongruent personal schedules (finding)
422517004,Inadequate interpersonal communication skills (finding)
442533006,Maintains contact with family (finding)
113381000119100,Codependency (finding)
225787000,Use of day finding (finding)
225788005,Regular daily routine (finding)
225789002,Poor daily routine (finding)
225790006,Finding relating to autonomy and empowerment (finding)
225791005,Empowered (finding)
225795001,Is informed (finding)
225792003,Knows rights (finding)
225796000,Knows how to make a complaint (finding)
225797009,Knows the complaints procedure (finding)
225845005,Knows about freedom of speech (finding)
225846006,Knows about freedom of choice (finding)
225793008,Disempowered (finding)
225798004,Uninformed (finding)
225801005,Dominated by others (finding)
225802003,Dominated by carer (finding)
225803008,Dominated by professionals (finding)
225804002,Pressured by others (finding)
225805001,Pressured by parents (finding)
225806000,Pressured by partner (finding)
225807009,Pressured by peers (finding)
225808004,Overprotected (finding)
225809007,Mothered excessively (finding)
225812005,Denied opportunity to make informed choices (finding)
225813000,Not involved in managing own affairs (finding)
225815007,Not involved in dealing with own monies (finding)
225818009,Victim of other person's behavior (finding)
225819001,Victim of threats (finding)
225820007,Victim of bullying (finding)
428454002,Victim of bullying when not in school (finding)
225823009,Victim of exploitation (finding)
95316006,Victim of kidnapping (finding)
95317002,Victim of terrorism (finding)
363652006,Victim of bio-terrorism (finding)
95930005,Victim of neglect (finding)
95931009,Neglected spouse (finding)
95932002,Neglected parents (finding)
95933007,Neglected elder (finding)
422379007,Lacks emotional nurturance (finding)
422566002,Inappropriately left alone (finding)
423562005,Lacks necessary supervision (finding)
423217007,Delayed healthcare provision resulting in neglect (finding)
419686005,Victim of infant/child neglect (finding)
397660003,Child deprivation syndrome (finding)
231421000119102,Child victim of nutritional neglect (finding)
231431000119104,Adult victim of nutritional neglect (finding)
386702006,Victim of abuse (finding)
95318007,Victim of torture (finding)
397940009,Victim of child abuse (finding)
102457005,Battered baby AND/OR child syndrome (finding)
397864009,Battered baby (finding)
102458000,Shaken baby syndrome (finding)
401316003,Child affected by Munchausen's by proxy (finding)
289431000119109,Child victim of maltreatment (finding)
237461000119103,Child victim of physical abuse (finding)
473453008,Child victim of psychological or emotional abuse (finding)
700229002,Victim of child sexual abuse (finding)
713834002,Victim of child sexual exploitation (finding)
225826001,Victim of sexual abuse (finding)
225830003,Victim of sexual harassment (finding)
56890008,Victim of sexual aggression (finding)
42085001,Victim of rape (finding)
17044007,Victim of statutory rape (finding)
713820002,Victim of sexual assault by intimate partner (finding)
713821003,Victim of sexual assault by member of household (finding)
242973005,Witness of indecent exposure (finding)
242974004,Recipient of obscene telephone call (finding)
417876002,Victim of abusive sexual relationship (finding)
419951006,Victim of abusive sexual relationship with husband (finding)
418150003,Victim of abusive sexual relationship with partner (finding)
420180008,Victim of abusive sexual relationship with wife (finding)
149141000119102,Adult victim of sexual abuse (finding)
29231000119109,Adult victim of non-domestic sexual abuse (finding)
718495005,Adult victim of sexual abuse during military service (finding)
10761061000119107,Sexual abuse complicating pregnancy (finding)
10761021000119102,Sexual abuse complicating childbirth (finding)
225827005,Victim of financial abuse (finding)
225828000,Victim of racial abuse (finding)
90774003,Victim of physical assault (finding)
2268003,Victim of homosexual aggression (finding)
74715005,Battered woman syndrome (finding)
78077007,Battered spouse syndrome (finding)
160800006,Battered wife - history (finding)
160801005,Battered husband - history (finding)
213012007,Battered wife (finding)
213013002,Battered husband (finding)
80520008,Victim of trampling (finding)
95924005,Victim of mental abuse (finding)
225825002,Victim of verbal abuse (finding)
423402005,Victim of consistent negative messages (finding)
95925006,Psychologically abused woman (finding)
10760981000119107,Psychological abuse complicating pregnancy (finding)
10760941000119102,Psychological abuse complicating childbirth (finding)
95926007,Psychologically abused spouse (finding)
95927003,Psychologically abused parent (finding)
95929000,Psychologically abused elder (finding)
406137001,Adult victim of abuse (finding)
207871000119100,Adult victim of emotional abuse (finding)
237451000119100,Adult victim of physical abuse (finding)
288671000119101,Adult victim of physical abuse by female partner (finding)
288681000119103,Adult victim of physical abuse by male partner (finding)
706872008,Victim of elder abuse (finding)
225824003,Victim of physical abuse (finding)
10756261000119102,Physical abuse complicating childbirth (finding)
10756301000119105,Physical abuse complicating pregnancy (finding)
419916003,Victim of emotional abuse (finding)
423344000,Victim of harsh discipline (finding)
424509006,Victim of excessive discipline (finding)
422722002,Victim of violent environment (finding)
700226009,Victim of sexual grooming (finding)
706893006,Victim of intimate partner abuse (finding)
442084003,Victim of physical violence (finding)
225799007,Finding relating to institutionalization (finding)
225800006,Institutionalized (finding)
225831004,Finding relating to advocacy (finding)
225832006,Self-advocates (finding)
225833001,Uses a legal advocate (finding)
225834007,Uses a citizen advocate (finding)
225835008,Needs an advocate (finding)
225836009,Does not want an advocate (finding)
225837000,In contact with voluntary advocacy group (finding)
225838005,Understands principles of advocacy (finding)
225839002,Finding relating to showing respect (finding)
225840000,Respects life (finding)
225841001,Respects others (finding)
225842008,Finding relating to displaying ethical principles (finding)
225843003,Displays ethical principles (finding)
225844009,Lacks ethical principles (finding)
225855009,Finding relating to rules and boundaries (finding)
365999004,Finding related to awareness of rules and boundaries (finding)
225852007,Aware of rules and boundaries (finding)
225853002,Unaware of rules and boundaries (finding)
366001003,Finding of adherence to rules and boundaries (finding)
225856005,Adheres to rules and boundaries (finding)
714371000,Able to adhere to rules and boundaries (finding)
714562005,Does adhere to rules and boundaries (finding)
714416000,Difficulty adhering to rules and boundaries (finding)
714862000,Unable to adhere to rules and boundaries (finding)
284531007,Finding relating to grieving and mourning (finding)
118193001,Role-related finding (finding)
225814006,Adopts sick role (finding)
225816008,Gains from sick role (finding)
225817004,Does not adopt sick role (finding)
714385005,Able to adopt sick role (finding)
714419007,Difficulty adopting sick role (finding)
714855009,Does adopt sick role (finding)
714856005,Unable to adopt sick role (finding)
22927000,Suspicious behavior (finding)
163614007,On examination - suspicious (finding)
54380006,Translocation syndrome (finding)
57097000,Altered growth and development: social skills (finding)
270428008,Malingerer (finding)
365996006,Finding of interaction with others (finding)
365997002,Finding related to ability to interact with others (finding)
129874008,Social interaction finding (finding)
129875009,Social interaction alteration (finding)
77096008,Social isolation (rejection) (finding)
423315002,Limited social contact (finding)
422611005,Minimal outside social stimulation (finding)
129872007,Socialization alteration (finding)
425266007,Use of health care provider for social contact (finding)
105411000,Social withdrawal (finding)
365998007,Finding related to ability to talk about problems (finding)
225848007,Talks about problem (finding)
225849004,Does not talk about problem (finding)
366002005,Finding of vulnerability to exploitation (finding)
225811003,Open to exploitation (finding)
106024000,Finding of role relationship pattern (finding)
129876005,Role change (finding)
423874001,Assumes new role (finding)
423571001,Loses previous role (finding)
423446002,Involuntary role reversal (finding)
129879003,Parenting finding (finding)
300894000,Parental anxiety (finding)
270472006,Maternal concern (finding)
14345008,Parent/child conflict (finding)
161064007,Child/parent violence (finding)
52184009,Parent-child problem (finding)
105483008,Overprotective parent (finding)
129873002,Parental role conflict (finding)
225642005,Anxiety about not coping with parenthood (finding)
225639004,Worried about not coping with baby (finding)
225640002,Worried about being a bad father (finding)
225641003,Worried about being a bad mother (finding)
401141001,Parental concern about child (finding)
406161008,Alteration in parenting (finding)
52455008,Ineffective parenthood (finding)
406160009,Impaired parenting (finding)
169937006,Bonding problems (finding)
33590004,Weak mother-infant attachment (finding)
423385005,Difficulty bonding with unborn baby (finding)
424364004,Dissatisfaction with parenting responsibilities (finding)
424896002,Difficulty with parenting responsibilities (finding)
425275009,Abusive parenting (finding)
422913006,Neglectful parenting (finding)
422596007,Caregiver difficulty interpreting non-verbal communication (finding)
473447008,Exerting inappropriate parental pressure (finding)
702469009,Father has sole parental responsibility (finding)
702470005,Carer has sole parental responsibility (finding)
704305004,Impairment of caregiver child attachment (finding)
129881001,Developing organized infant behavior (finding)
27179007,Disturbance in role performance (finding)
151901000119101,Psychosocial problems related to unwanted pregnancy (finding)
288571000119100,Psychosocial problems related to multiparity (finding)
115491000119105,Psychosocial dysfunction due to chronic pain (finding)
36456004,Mental state finding (finding)
106126000,Emotional state finding (finding)
102893002,Excitability (finding)
417514002,On examination - excitable (finding)
417694005,On examination - normal excitability (finding)
416259003,On examination - increased excitability (finding)
416443001,On examination - decreased excitability (finding)
102898006,Emotional relationship (finding)
102899003,Abusive emotional relationship (finding)
