source,relation,target
284465006,IS_A,384821006
284465006,INTERPRETS,3850002
225706007,IS_A,108329005
225706007,IS_A,284465006
225706007,INTERPRETS,3850002
160822004,IS_A,225706007
160822004,IS_A,55607006
160822004,INTERPRETS,3850002
160823009,IS_A,160822004
160823009,INTERPRETS,3850002
160824003,IS_A,160822004
160824003,INTERPRETS,3850002
160826001,IS_A,160822004
160826001,INTERPRETS,3850002
160827005,IS_A,160822004
160827005,INTERPRETS,3850002
288501000119105,IS_A,160827005
288501000119105,INTERPRETS,3850002
160828000,IS_A,160822004
160828000,INTERPRETS,3850002
160830003,IS_A,160822004
160830003,INTERPRETS,3850002
681000119101,IS_A,160822004
681000119101,INTERPRETS,3850002
1041000119100,IS_A,160822004
1041000119100,INTERPRETS,3850002
288551000119109,IS_A,105489007
288551000119109,IS_A,160822004
288551000119109,INTERPRETS,160476009
288551000119109,INTERPRETS,3850002
52381000119109,IS_A,160822004
52381000119109,INTERPRETS,3850002
102171000119108,IS_A,160822004
102171000119108,INTERPRETS,3850002
102161000119102,IS_A,160822004
102161000119102,INTERPRETS,3850002
160845005,IS_A,225706007
160845005,INTERPRETS,3850002
160846006,IS_A,225706007
160846006,INTERPRETS,3850002
304858008,IS_A,224993008
304858008,IS_A,225706007
304858008,INTERPRETS,3850002
304859000,IS_A,304858008
304859000,INTERPRETS,3850002
304860005,IS_A,304858008
304860005,INTERPRETS,3850002
304861009,IS_A,304858008
304861009,INTERPRETS,3850002
304862002,IS_A,304858008
304862002,INTERPRETS,3850002
304863007,IS_A,304858008
304863007,INTERPRETS,3850002
304864001,IS_A,304858008
304864001,INTERPRETS,3850002
304865000,IS_A,304858008
304865000,INTERPRETS,3850002
88451002,IS_A,304858008
88451002,IS_A,15863006
88451002,INTERPRETS,363896009
88451002,INTERPRETS,3850002
64313000,IS_A,225706007
64313000,IS_A,106024000
64313000,INTERPRETS,3850002
129603004,IS_A,64313000
129603004,INTERPRETS,3850002
129878006,IS_A,64313000
129878006,INTERPRETS,3850002
133938003,IS_A,64313000
133938003,INTERPRETS,3850002
133939006,IS_A,133938003
133939006,INTERPRETS,3850002
281026004,IS_A,133939006
281026004,INTERPRETS,3850002
133940008,IS_A,133938003
133940008,INTERPRETS,3850002
441879005,IS_A,64313000
441879005,INTERPRETS,3850002
67564005,IS_A,225706007
67564005,INTERPRETS,3850002
