model,file,turn,protocol,shift
Mistral,cbt_mcot_transcript_1.json,0,alternative,-0.149141
Mistral,cbt_mcot_transcript_1.json,1,alternative,0.188462
Mistral,cbt_mcot_transcript_1.json,2,validation,-0.16883
Mistral,cbt_mcot_transcript_1.json,3,validation,-0.052422
Mistral,cbt_mcot_transcript_1.json,4,validation,0.095467
Mistral,cbt_mcot_transcript_1.json,5,validation,0.107573
Mistral,cbt_mcot_transcript_1.json,6,socratic,0.078642
Mistral,cbt_mcot_transcript_1.json,7,validation,-0.131166
Mistral,cbt_mcot_transcript_1.json,8,socratic,0.151319
Mistral,cbt_mcot_transcript_1.json,9,socratic,-0.026078
Mistral,cbt_mcot_transcript_10.json,0,validation,-0.135674
Mistral,cbt_mcot_transcript_10.json,1,validation,-0.188885
Mistral,cbt_mcot_transcript_10.json,2,validation,0.054701
Mistral,cbt_mcot_transcript_10.json,3,validation,-0.00043
Mistral,cbt_mcot_transcript_10.json,4,validation,0.051546
Mistral,cbt_mcot_transcript_10.json,5,validation,-0.062105
Mistral,cbt_mcot_transcript_10.json,6,validation,0.067347
Mistral,cbt_mcot_transcript_10.json,7,validation,-0.085452
Mistral,cbt_mcot_transcript_10.json,8,validation,-0.201163
Mistral,cbt_mcot_transcript_10.json,9,validation,-0.05044
Mistral,cbt_mcot_transcript_11.json,0,validation,0.120086
Mistral,cbt_mcot_transcript_11.json,1,validation,0.010788
Mistral,cbt_mcot_transcript_11.json,2,validation,-0.075106
Mistral,cbt_mcot_transcript_11.json,3,validation,-0.308457
Mistral,cbt_mcot_transcript_11.json,4,validation,0.219426
Mistral,cbt_mcot_transcript_11.json,5,validation,0.201364
Mistral,cbt_mcot_transcript_11.json,6,validation,0.165093
Mistral,cbt_mcot_transcript_11.json,7,validation,0.115753
Mistral,cbt_mcot_transcript_11.json,8,validation,0.1366
Mistral,cbt_mcot_transcript_11.json,9,validation,0.041674
Mistral,cbt_mcot_transcript_12.json,0,validation,0.103266
Mistral,cbt_mcot_transcript_12.json,1,socratic,0.008126
Mistral,cbt_mcot_transcript_12.json,2,validation,0.094808
Mistral,cbt_mcot_transcript_12.json,3,socratic,0.356921
Mistral,cbt_mcot_transcript_12.json,4,validation,0.06241
Mistral,cbt_mcot_transcript_12.json,5,socratic,0.087965
Mistral,cbt_mcot_transcript_12.json,6,validation,0.124946
Mistral,cbt_mcot_transcript_12.json,7,validation,0.152465
Mistral,cbt_mcot_transcript_12.json,8,socratic,0.034777
Mistral,cbt_mcot_transcript_12.json,9,validation,-0.053773
Mistral,cbt_mcot_transcript_13.json,0,socratic,0.178502
Mistral,cbt_mcot_transcript_13.json,1,socratic,0.050064
Mistral,cbt_mcot_transcript_13.json,2,validation,-0.009097
Mistral,cbt_mcot_transcript_13.json,3,validation,0.091954
Mistral,cbt_mcot_transcript_13.json,4,validation,-0.20392
Mistral,cbt_mcot_transcript_13.json,5,validation,-0.182183
Mistral,cbt_mcot_transcript_13.json,6,validation,-0.029374
Mistral,cbt_mcot_transcript_13.json,7,validation,0.090732
Mistral,cbt_mcot_transcript_13.json,8,validation,0.106216
Mistral,cbt_mcot_transcript_13.json,9,validation,0.131302
Mistral,cbt_mcot_transcript_14.json,0,validation,-0.103562
Mistral,cbt_mcot_transcript_14.json,1,validation,-0.100511
Mistral,cbt_mcot_transcript_14.json,2,validation,-0.024498
Mistral,cbt_mcot_transcript_14.json,3,socratic,-0.044702
Mistral,cbt_mcot_transcript_14.json,4,socratic,0.080735
