Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Self-induced vomiting to lose weight (disorder),705001007,0.3569,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Making obscene telephone calls (disorder),36943003,0.3474,IS_A,56627002,Psychosexual disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Acute stupor state due to acute stress reaction (disorder),192039002,0.3438,IS_A,67195008,Acute stress disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Acute panic state due to acute stress reaction (disorder),192037000,0.3407,IS_A,67195008,Acute stress disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Acute panic state due to acute stress reaction (disorder),192037000,0.3407,IS_A,371631005,Panic disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Insomnia disorder related to another mental disorder (disorder),24121004,0.3407,,,
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Self-induced vomiting to lose weight (disorder),705001007,0.3407,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Single manic episode in full remission (disorder),191588009,0.3385,IS_A,268619003,"Manic disorder, single episode (disorder)"
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Single episode of major depression in full remission (disorder),19527009,0.3384,IS_A,36923009,"Major depression, single episode (disorder)"
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Single episode of major depression in full remission (disorder),19527009,0.3384,IS_A,63412003,Major depression in full remission (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Delusion of foul odor (disorder),238975005,0.3341,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Elaboration of physical symptoms for psychological reasons (disorder),192527004,0.3311,IS_A,33449004,Personality disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Elaboration of physical symptoms for psychological reasons (disorder),192527004,0.3814,IS_A,33449004,Personality disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Delusion of foul odor (disorder),238975005,0.3754,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Self-induced vomiting to lose weight (disorder),705001007,0.3705,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Single manic episode in full remission (disorder),191588009,0.3676,IS_A,268619003,"Manic disorder, single episode (disorder)"
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Single episode of major depression in full remission (disorder),19527009,0.3654,IS_A,36923009,"Major depression, single episode (disorder)"
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Single episode of major depression in full remission (disorder),19527009,0.3654,IS_A,63412003,Major depression in full remission (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Self-induced vomiting to lose weight (disorder),705001007,0.4002,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Delusion of foul odor (disorder),238975005,0.3911,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Acute stupor state due to acute stress reaction (disorder),192039002,0.3873,IS_A,67195008,Acute stress disorder (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Acute fugue state due to acute stress reaction (disorder),192038005,0.3856,IS_A,67195008,Acute stress disorder (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Single manic episode in full remission (disorder),191588009,0.3856,IS_A,268619003,"Manic disorder, single episode (disorder)"
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Self-induced vomiting to lose weight (disorder),705001007,0.394,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Acute panic state due to acute stress reaction (disorder),192037000,0.3756,IS_A,67195008,Acute stress disorder (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Acute panic state due to acute stress reaction (disorder),192037000,0.3756,IS_A,371631005,Panic disorder (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Acute stupor state due to acute stress reaction (disorder),192039002,0.3686,IS_A,67195008,Acute stress disorder (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Delusion of foul odor (disorder),238975005,0.3678,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Acute fugue state due to acute stress reaction (disorder),192038005,0.3672,IS_A,67195008,Acute stress disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Delusion of foul odor (disorder),238975005,0.4016,IS_A,238972008,Cutaneous monosymptomatic delusional psychosis (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Self-induced vomiting to lose weight (disorder),705001007,0.3999,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Insomnia disorder related to another mental disorder (disorder),24121004,0.3997,,,
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Elaboration of physical symptoms for psychological reasons (disorder),192527004,0.394,IS_A,33449004,Personality disorder (disorder)
6,"I feel guilty when I rest, but exhausted when I work, and I don’t know how to find a balance that doesn’t feel like I’m neglecting something important.",Making obscene telephone calls (disorder),36943003,0.3925,IS_A,56627002,Psychosexual disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Elaboration of physical symptoms for psychological reasons (disorder),192527004,0.3811,IS_A,33449004,Personality disorder (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Poor insight into neurotic condition (disorder),268958005,0.3774,IS_A,111475002,Neurosis (disorder)
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Insomnia disorder related to another mental disorder (disorder),24121004,0.3732,,,
7,"Sometimes I wonder if everyone else is coping better than I am, or if they’re just better at hiding how overwhelmed they feel.",Self-induced vomiting to lose weight (disorder),705001007,0.3729,IS_A,32721004,"Bulimia nervosa, purging type (disorder)"
