Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Specific academic or work inhibition (disorder),268658008,0.408,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Adjustment disorder with work inhibition (disorder),32880007,0.3478,IS_A,17226007,Adjustment disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Adjustment disorder with academic inhibition (disorder),15977008,0.3156,IS_A,17226007,Adjustment disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Academic underachievement disorder (disorder),192123006,0.2904,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Rumination disorder (disorder),37941009,0.2779,IS_A,72366004,Eating disorder (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Adjustment disorder with work inhibition (disorder),32880007,0.2573,IS_A,17226007,Adjustment disorder (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Specific academic or work inhibition (disorder),268658008,0.2247,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Physical AND emotional exhaustion state (disorder),58535001,0.2038,IS_A,197480006,Anxiety disorder (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Pathological demand avoidance (disorder),712884004,0.2037,IS_A,35919005,Pervasive developmental disorder (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Specific work inhibition (disorder),275473003,0.2035,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Academic underachievement disorder (disorder),192123006,0.4015,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Adjustment disorder with academic inhibition (disorder),15977008,0.4015,IS_A,17226007,Adjustment disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Specific academic or work inhibition (disorder),268658008,0.3517,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Adjustment reaction of adult life (disorder),386823006,0.3337,IS_A,17226007,Adjustment disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Adjustment reaction of adolescence (disorder),386822001,0.3146,IS_A,17226007,Adjustment disorder (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Academic underachievement disorder (disorder),192123006,0.4534,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Adjustment disorder with academic inhibition (disorder),15977008,0.3658,IS_A,17226007,Adjustment disorder (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Specific academic or work inhibition (disorder),268658008,0.3639,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Mixed disorder of scholastic skills (disorder),192575009,0.3229,IS_A,1855002,Developmental academic disorder (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Specific number difficulty (disorder),359661001,0.3031,IS_A,1855002,Developmental academic disorder (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Specific academic or work inhibition (disorder),268658008,0.416,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
5,"I notice that I avoid starting assignments because I’m afraid I won’t do them well enough, which only makes the stress worse.",Occupation-related stress disorder (disorder),10586006,0.3949,IS_A,197480006,Anxiety disorder (disorder)
