Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Specific work inhibition (disorder),275473003,0.5395,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Specific academic or work inhibition (disorder),268658008,0.5321,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Adjustment disorder with work inhibition (disorder),32880007,0.5036,IS_A,17226007,Adjustment disorder (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Academic underachievement disorder (disorder),192123006,0.5012,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
1,"I feel like my coursework is piling up faster than I can keep track of it, and every time I sit down to work, my mind jumps to everything else that could go wrong.",Acute exacerbation of subchronic latent schizophrenia (disorder),191563001,0.4834,IS_A,274952002,Borderline schizophrenia (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Specific number difficulty (disorder),359661001,0.4398,IS_A,1855002,Developmental academic disorder (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Secondary dysthymia late onset (disorder),36170009,0.4343,IS_A,19694002,Late onset dysthymia (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Secondary dysthymia late onset (disorder),36170009,0.4343,IS_A,85080004,Secondary dysthymia (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.","Bipolar affective disorder, currently depressed, severe, with psychosis (disorder)",191632009,0.4341,IS_A,191627008,"Bipolar affective disorder, current episode depression (disorder)"
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.",Specific academic or work inhibition (disorder),268658008,0.4337,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
2,"I keep telling myself I just need to push through this week, but then another deadline appears, and it feels like there’s no real break ahead.","Bipolar affective disorder, currently depressed, mild (disorder)",191629006,0.433,IS_A,191627008,"Bipolar affective disorder, current episode depression (disorder)"
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Specific academic or work inhibition (disorder),268658008,0.509,IS_A,192063005,Adjustment reaction with physical symptoms (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Academic underachievement disorder (disorder),192123006,0.492,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Adjustment disorder with academic inhibition (disorder),15977008,0.4855,IS_A,17226007,Adjustment disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Severe manic bipolar I disorder (disorder),23741000119105,0.4796,IS_A,68569003,Manic bipolar I disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Severe manic bipolar I disorder (disorder),23741000119105,0.4796,IS_A,371599001,Severe bipolar I disorder (disorder)
3,"I’m overwhelmed not just by school, but by life in general—finances, future plans, and the pressure to “figure things out” all seem to hit at once.",Stress-related problem (disorder),162218007,0.4526,IS_A,271952001,Stress and adjustment reaction (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Rapid cycling bipolar I disorder (disorder),133091000119105,0.4553,IS_A,371596008,Bipolar I disorder (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Academic underachievement disorder (disorder),192123006,0.4477,IS_A,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
4,"When I fall behind even a little, I start spiraling and thinking it means I’m failing at more than just this one class.",Reactive confusion (disorder),191678001,0.446,IS_A,231489001,Acute transient psychotic disorder (disorder)
