Embedding,Turn,User Text,SNOMED Term,Code,Score,Relation Type,Relation Target Code,Relation Target Term
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Feeling calm (finding),102894008,0.536,IS_A,76094002,Pleasurable affect (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Feeling calm (finding),102894008,0.536,INTERPRETS,3850002,Psychological function (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Feeling calm (finding),102894008,0.536,INTERPRETS,285854004,Emotion (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Tends to allow anger to build up (finding),286791008,0.5163,IS_A,286786007,Character trait finding of anger control (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Tends to allow anger to build up (finding),286791008,0.5163,INTERPRETS,3850002,Psychological function (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Able to control anger (finding),285848000,0.5111,IS_A,75408008,Feeling angry (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Able to control anger (finding),285848000,0.5111,IS_A,285850008,Able to control emotions (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Able to control anger (finding),285848000,0.5111,IS_A,365208007,Finding related to ability to control anger (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Able to control anger (finding),285848000,0.5111,INTERPRETS,3850002,Psychological function (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Able to control anger (finding),285848000,0.5111,INTERPRETS,285854004,Emotion (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Able to control anger (finding),285848000,0.5111,INTERPRETS,225007005,Ability to control anger (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Difficulty controlling anger (finding),285849008,0.5004,IS_A,285852000,Difficulty controlling emotions (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Difficulty controlling anger (finding),285849008,0.5004,IS_A,365208007,Finding related to ability to control anger (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Difficulty controlling anger (finding),285849008,0.5004,INTERPRETS,3850002,Psychological function (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Difficulty controlling anger (finding),285849008,0.5004,INTERPRETS,285854004,Emotion (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Difficulty controlling anger (finding),285849008,0.5004,INTERPRETS,225007005,Ability to control anger (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Unable to control anger (finding),225005002,0.4917,IS_A,75408008,Feeling angry (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Unable to control anger (finding),225005002,0.4917,IS_A,365208007,Finding related to ability to control anger (finding)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Unable to control anger (finding),225005002,0.4917,INTERPRETS,3850002,Psychological function (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Unable to control anger (finding),225005002,0.4917,INTERPRETS,285854004,Emotion (observable entity)
mpnet,1,I’m calm most of the times but sometimes I end up blowing up.,Unable to control anger (finding),225005002,0.4917,INTERPRETS,225007005,Ability to control anger (observable entity)
